#timestamp x y z qx qy qz qw
713.496000 6.741026 34.136024 0.165000 -0.706154 0.036701 -0.036701 0.706154
714.552000 6.840145 35.081242 0.165000 -0.706133 0.037098 -0.037098 0.706133
715.640000 6.943131 36.055012 0.165000 -0.706125 0.037247 -0.037247 0.706125
716.664000 7.039544 36.971550 0.165000 -0.706145 0.036876 -0.036876 0.706145
717.684000 7.135107 37.884571 0.165000 -0.706143 0.036901 -0.036901 0.706143
718.776000 7.237740 38.861992 0.165000 -0.706135 0.037052 -0.037052 0.706135
719.832000 7.337038 39.807190 0.165000 -0.706132 0.037118 -0.037118 0.706132
720.888000 7.437399 40.752277 0.165000 -0.706099 0.037741 -0.037741 0.706099
721.908000 7.535998 41.664967 0.165000 -0.706080 0.038091 -0.038091 0.706080
722.932000 7.634919 42.581238 0.165000 -0.706088 0.037937 -0.037937 0.706088
723.956000 7.733381 43.497559 0.165000 -0.706103 0.037667 -0.037667 0.706103
724.980000 7.831564 44.413914 0.165000 -0.706095 0.037822 -0.037822 0.706095
726.000000 7.929596 45.326664 0.165000 -0.706100 0.037718 -0.037718 0.706100
727.092000 8.033425 46.303970 0.165000 -0.706135 0.037058 -0.037058 0.706135
728.112000 8.129240 47.216957 0.165000 -0.706143 0.036911 -0.036911 0.706143
729.136000 8.225561 48.133518 0.165000 -0.706130 0.037163 -0.037163 0.706130
730.160000 8.323546 49.049896 0.165000 -0.706077 0.038144 -0.038144 0.706077
731.216000 8.427369 49.994606 0.165000 -0.706019 0.039207 -0.039207 0.706019
732.240000 8.530847 50.910374 0.165000 -0.705963 0.040197 -0.040197 0.705963
733.360000 8.645882 51.911789 0.165000 -0.705939 0.040618 -0.040618 0.705939
734.384000 8.751879 52.827274 0.165000 -0.705932 0.040738 -0.040738 0.705932
735.472000 8.864138 53.800014 0.165000 -0.705956 0.040321 -0.040321 0.705956
736.528000 8.972129 54.744259 0.165000 -0.705953 0.040372 -0.040372 0.705953
737.552000 9.076667 55.659908 0.165000 -0.705989 0.039736 -0.039736 0.705989
738.576000 9.179029 56.575809 0.165000 -0.706031 0.038983 -0.038983 0.706031
739.596000 9.280091 57.488232 0.165000 -0.706026 0.039083 -0.039083 0.706026
740.620000 9.382271 58.404152 0.165000 -0.706008 0.039412 -0.039412 0.706008
741.644000 9.484239 59.320095 0.165000 -0.706038 0.038869 -0.038869 0.706038
742.732000 9.588939 60.293678 0.165000 -0.706138 0.036997 -0.036997 0.706138
743.756000 9.684582 61.210304 0.165000 -0.706146 0.036849 -0.036849 0.706146
744.812000 9.785336 62.155346 0.165000 -0.706074 0.038215 -0.038215 0.706073
745.868000 9.888920 63.100086 0.165000 -0.706056 0.038533 -0.038533 0.706056
746.892000 9.984438 63.967567 0.165000 -0.705573 0.046552 -0.046552 0.705573
747.948000 10.116110 64.379875 0.165000 -0.658609 0.257360 -0.257360 0.658609
748.968000 10.282764 64.439758 0.165000 -0.538095 0.458752 -0.458752 0.538095
749.992000 10.858027 64.488899 0.165000 -0.511968 0.487738 -0.487738 0.511968
751.048000 11.794914 64.503113 0.165000 -0.496437 0.503538 -0.503538 0.496437
752.072000 12.715937 64.471878 0.165000 0.487350 -0.512338 0.512338 -0.487350
753.128000 13.664533 64.413643 0.165000 -0.481900 0.517467 -0.517467 0.481900
754.152000 14.583296 64.341492 0.165000 -0.478443 0.520665 -0.520665 0.478443
755.172000 15.497601 64.259247 0.165000 0.475862 -0.523025 0.523026 -0.475862
756.228000 16.443474 64.166626 0.165000 -0.474284 0.524457 -0.524457 0.474284
757.252000 17.360212 64.072083 0.165000 0.473052 -0.525568 0.525568 -0.473052
758.276000 18.276552 63.973740 0.165000 0.472154 -0.526375 0.526376 -0.472153
759.332000 19.221289 63.870152 0.165000 -0.471973 0.526537 -0.526537 0.471973
760.388000 19.920973 63.768356 0.165000 -0.454258 0.541894 -0.541894 0.454258
